Gene_ID,Ensembl_ID,Gene_Name,Gene_Biotype,Gene_Length
ENSG00000187634_SAMD11,ENSG00000187634,SAMD11,protein_coding,20654
ENSG00000188976_NOC2L,ENSG00000188976,NOC2L,protein_coding,15106
ENSG00000187961_KLHL17,ENSG00000187961,KLHL17,protein_coding,5129
ENSG00000187583_PLEKHN1,ENSG00000187583,PLEKHN1,protein_coding,9369
ENSG00000187642_PERM1,ENSG00000187642,PERM1,protein_coding,6890
ENSG00000272512_AL645608.7,ENSG00000272512,AL645608.7,lincRNA,2086
ENSG00000188290_HES4,ENSG00000188290,HES4,protein_coding,1211
ENSG00000187608_ISG15,ENSG00000187608,ISG15,protein_coding,13403
ENSG00000231702_AL645608.3,ENSG00000231702,AL645608.3,processed_pseudogene,154
ENSG00000224969_AL645608.1,ENSG00000224969,AL645608.1,antisense,1197
ENSG00000188157_AGRN,ENSG00000188157,AGRN,protein_coding,35996
ENSG00000242590_AL645608.5,ENSG00000242590,AL645608.5,sense_intronic,1084
ENSG00000217801_AL390719.1,ENSG00000217801,AL390719.1,transcribed_unprocessed_pseudogene,9622
ENSG00000273443_AL645608.8,ENSG00000273443,AL645608.8,lincRNA,1081
ENSG00000237330_RNF223,ENSG00000237330,RNF223,protein_coding,3342
ENSG00000131591_C1orf159,ENSG00000131591,C1orf159,protein_coding,34544
ENSG00000285812_AL390719.3,ENSG00000285812,AL390719.3,antisense,7014
ENSG00000223823_LINC01342,ENSG00000223823,LINC01342,lincRNA,7040
ENSG00000207730_MIR200B,ENSG00000207730,MIR200B,miRNA,95
ENSG00000207607_MIR200A,ENSG00000207607,MIR200A,miRNA,90
ENSG00000198976_MIR429,ENSG00000198976,MIR429,miRNA,83
ENSG00000272141_AL390719.2,ENSG00000272141,AL390719.2,lincRNA,987
ENSG00000205231_TTLL10-AS1,ENSG00000205231,TTLL10-AS1,antisense,6500
ENSG00000162571_TTLL10,ENSG00000162571,TTLL10,protein_coding,24052
ENSG00000186891_TNFRSF18,ENSG00000186891,TNFRSF18,protein_coding,3184
ENSG00000186827_TNFRSF4,ENSG00000186827,TNFRSF4,protein_coding,2813
ENSG00000078808_SDF4,ENSG00000078808,SDF4,protein_coding,15124
ENSG00000176022_B3GALT6,ENSG00000176022,B3GALT6,protein_coding,2816
ENSG00000184163_C1QTNF12,ENSG00000184163,C1QTNF12,protein_coding,4277
ENSG00000260179_AL162741.1,ENSG00000260179,AL162741.1,lincRNA,1558
ENSG00000160087_UBE2J2,ENSG00000160087,UBE2J2,protein_coding,19977
ENSG00000230415_LINC01786,ENSG00000230415,LINC01786,lincRNA,5198
ENSG00000162572_SCNN1D,ENSG00000162572,SCNN1D,protein_coding,11594
ENSG00000131584_ACAP3,ENSG00000131584,ACAP3,protein_coding,17234
ENSG00000278073_MIR6726,ENSG00000278073,MIR6726,miRNA,61
ENSG00000169972_PUSL1,ENSG00000169972,PUSL1,protein_coding,3111
ENSG00000127054_INTS11,ENSG00000127054,INTS11,protein_coding,13107
ENSG00000283712_MIR6727,ENSG00000283712,MIR6727,miRNA,65
ENSG00000240731_AL139287.1,ENSG00000240731,AL139287.1,sense_intronic,1109
ENSG00000224051_CPTP,ENSG00000224051,CPTP,protein_coding,4142
ENSG00000169962_TAS1R3,ENSG00000169962,TAS1R3,protein_coding,3993
ENSG00000107404_DVL1,ENSG00000107404,DVL1,protein_coding,14075
ENSG00000284372_MIR6808,ENSG00000284372,MIR6808,miRNA,59
ENSG00000162576_MXRA8,ENSG00000162576,MXRA8,protein_coding,9089
ENSG00000175756_AURKAIP1,ENSG00000175756,AURKAIP1,protein_coding,1766
ENSG00000223663_NDUFB4P8,ENSG00000223663,NDUFB4P8,processed_pseudogene,367
ENSG00000221978_CCNL2,ENSG00000221978,CCNL2,protein_coding,13618
ENSG00000224870_AL391244.1,ENSG00000224870,AL391244.1,processed_transcript,2525
ENSG00000242485_MRPL20,ENSG00000242485,MRPL20,protein_coding,5406
ENSG00000264293_RN7SL657P,ENSG00000264293,RN7SL657P,misc_RNA,293
ENSG00000272455_AL391244.3,ENSG00000272455,AL391244.3,lincRNA,1523
ENSG00000235098_ANKRD65,ENSG00000235098,ANKRD65,protein_coding,3350
ENSG00000225905_AL391244.2,ENSG00000225905,AL391244.2,antisense,2447
ENSG00000205116_TMEM88B,ENSG00000205116,TMEM88B,protein_coding,1660
ENSG00000225285_LINC01770,ENSG00000225285,LINC01770,lincRNA,4035
ENSG00000179403_VWA1,ENSG00000179403,VWA1,protein_coding,8022
ENSG00000215915_ATAD3C,ENSG00000215915,ATAD3C,protein_coding,20470
ENSG00000160072_ATAD3B,ENSG00000160072,ATAD3B,protein_coding,26080
ENSG00000284740_AL645728.2,ENSG00000284740,AL645728.2,transcribed_unprocessed_pseudogene,6203
ENSG00000197785_ATAD3A,ENSG00000197785,ATAD3A,protein_coding,22537
ENSG00000205090_TMEM240,ENSG00000205090,TMEM240,protein_coding,5280
ENSG00000160075_SSU72,ENSG00000160075,SSU72,protein_coding,33197
ENSG00000215014_AL645728.1,ENSG00000215014,AL645728.1,processed_transcript,2974
ENSG00000274481_AL691432.3,ENSG00000274481,AL691432.3,processed_pseudogene,400
ENSG00000228594_FNDC10,ENSG00000228594,FNDC10,protein_coding,2085
ENSG00000272106_AL691432.2,ENSG00000272106,AL691432.2,antisense,2038
ENSG00000197530_MIB2,ENSG00000197530,MIB2,protein_coding,15196
ENSG00000189409_MMP23B,ENSG00000189409,MMP23B,protein_coding,3169
ENSG00000248333_CDK11B,ENSG00000248333,CDK11B,protein_coding,23786
ENSG00000272004_FO704657.1,ENSG00000272004,FO704657.1,antisense,3278
ENSG00000189339_SLC35E2B,ENSG00000189339,SLC35E2B,protein_coding,33200
ENSG00000269737_AL691432.1,ENSG00000269737,AL691432.1,transcribed_processed_pseudogene,2408
ENSG00000215914_MMP23A,ENSG00000215914,MMP23A,unprocessed_pseudogene,1841
ENSG00000008128_CDK11A,ENSG00000008128,CDK11A,protein_coding,21595
ENSG00000268575_AL031282.2,ENSG00000268575,AL031282.2,processed_transcript,34953
ENSG00000227775_AL031282.1,ENSG00000227775,AL031282.1,transcribed_processed_pseudogene,12740
ENSG00000215790_SLC35E2A,ENSG00000215790,SLC35E2A,protein_coding,21162
ENSG00000008130_NADK,ENSG00000008130,NADK,protein_coding,29226
ENSG00000078369_GNB1,ENSG00000078369,GNB1,protein_coding,105833
ENSG00000231050_AL109917.1,ENSG00000231050,AL109917.1,antisense,1188
ENSG00000169885_CALML6,ENSG00000169885,CALML6,protein_coding,2470
ENSG00000178821_TMEM52,ENSG00000178821,TMEM52,protein_coding,1684
ENSG00000142609_CFAP74,ENSG00000142609,CFAP74,protein_coding,81887
ENSG00000233542_AL391845.2,ENSG00000233542,AL391845.2,antisense,2318
ENSG00000187730_GABRD,ENSG00000187730,GABRD,protein_coding,11461
ENSG00000226969_AL391845.1,ENSG00000226969,AL391845.1,antisense,868
ENSG00000067606_PRKCZ,ENSG00000067606,PRKCZ,protein_coding,134926
ENSG00000271806_AL590822.2,ENSG00000271806,AL590822.2,antisense,4196
ENSG00000182873_PRKCZ-AS1,ENSG00000182873,PRKCZ-AS1,antisense,2596
ENSG00000162585_FAAP20,ENSG00000162585,FAAP20,protein_coding,28260
ENSG00000234396_AL590822.1,ENSG00000234396,AL590822.1,lincRNA,8216
ENSG00000157933_SKI,ENSG00000157933,SKI,protein_coding,81425
ENSG00000116151_MORN1,ENSG00000116151,MORN1,protein_coding,70455
ENSG00000272161_AL589739.1,ENSG00000272161,AL589739.1,sense_intronic,493
ENSG00000269896_AL513477.1,ENSG00000269896,AL513477.1,transcribed_processed_pseudogene,2407
ENSG00000272420_AL513477.2,ENSG00000272420,AL513477.2,sense_intronic,568
ENSG00000157916_RER1,ENSG00000157916,RER1,protein_coding,13670
ENSG00000157911_PEX10,ENSG00000157911,PEX10,protein_coding,9834
ENSG00000149527_PLCH2,ENSG00000149527,PLCH2,protein_coding,79551
ENSG00000224387_AL139246.1,ENSG00000224387,AL139246.1,antisense,959
ENSG00000229393_AL139246.4,ENSG00000229393,AL139246.4,antisense,1043
ENSG00000157881_PANK4,ENSG00000157881,PANK4,protein_coding,18096
ENSG00000197921_HES5,ENSG00000197921,HES5,protein_coding,1501
ENSG00000272449_AL139246.5,ENSG00000272449,AL139246.5,lincRNA,17397
ENSG00000238164_TNFRSF14-AS1,ENSG00000238164,TNFRSF14-AS1,antisense,7112
ENSG00000157873_TNFRSF14,ENSG00000157873,TNFRSF14,protein_coding,9744
ENSG00000225931_AL139246.2,ENSG00000225931,AL139246.2,TEC,3479
ENSG00000228037_AL139246.3,ENSG00000228037,AL139246.3,lincRNA,2974
ENSG00000157870_PRXL2B,ENSG00000157870,PRXL2B,protein_coding,4979
ENSG00000142606_MMEL1,ENSG00000142606,MMEL1,protein_coding,42352
ENSG00000237058_AL831784.1,ENSG00000237058,AL831784.1,antisense,4053
ENSG00000215912_TTC34,ENSG00000215912,TTC34,protein_coding,165742
ENSG00000285945_AC242022.2,ENSG00000285945,AC242022.2,lincRNA,16643
ENSG00000283259_AC242022.1,ENSG00000283259,AC242022.1,antisense,2871
ENSG00000233234_AL592464.2,ENSG00000233234,AL592464.2,lincRNA,843
ENSG00000231630_AL592464.1,ENSG00000231630,AL592464.1,lincRNA,567
ENSG00000284745_AL589702.1,ENSG00000284745,AL589702.1,lincRNA,8050
ENSG00000169717_ACTRT2,ENSG00000169717,ACTRT2,protein_coding,1421
ENSG00000177133_LINC00982,ENSG00000177133,LINC00982,antisense,8823
ENSG00000142611_PRDM16,ENSG00000142611,PRDM16,protein_coding,369454
ENSG00000283572_MIR4251,ENSG00000283572,MIR4251,miRNA,61
ENSG00000226286_AL008733.1,ENSG00000226286,AL008733.1,antisense,783
ENSG00000279839_AL512383.1,ENSG00000279839,AL512383.1,TEC,2677
ENSG00000272235_AL590438.1,ENSG00000272235,AL590438.1,lincRNA,3461
ENSG00000130762_ARHGEF16,ENSG00000130762,ARHGEF16,protein_coding,26688
ENSG00000272088_AL512413.1,ENSG00000272088,AL512413.1,lincRNA,382
ENSG00000162591_MEGF6,ENSG00000162591,MEGF6,protein_coding,121576
ENSG00000207776_MIR551A,ENSG00000207776,MIR551A,miRNA,96
ENSG00000238260_AL513320.1,ENSG00000238260,AL513320.1,antisense,1554
ENSG00000158109_TPRG1L,ENSG00000158109,TPRG1L,protein_coding,5126
ENSG00000116213_WRAP73,ENSG00000116213,WRAP73,protein_coding,21995
ENSG00000078900_TP73,ENSG00000078900,TP73,protein_coding,83682
ENSG00000227589_AL136528.1,ENSG00000227589,AL136528.1,antisense,9835
ENSG00000235131_AL136528.2,ENSG00000235131,AL136528.2,antisense,2099
ENSG00000227372_TP73-AS1,ENSG00000227372,TP73-AS1,transcribed_unitary_pseudogene,11863
ENSG00000276189_RF02197,ENSG00000276189,RF02197,misc_RNA,161
ENSG00000162592_CCDC27,ENSG00000162592,CCDC27,protein_coding,25186
ENSG00000235169_SMIM1,ENSG00000235169,SMIM1,protein_coding,3222
ENSG00000130764_LRRC47,ENSG00000130764,LRRC47,protein_coding,17947
ENSG00000266075_RN7SL574P,ENSG00000266075,RN7SL574P,misc_RNA,297
ENSG00000272153_AL365330.1,ENSG00000272153,AL365330.1,antisense,531
ENSG00000116198_CEP104,ENSG00000116198,CEP104,protein_coding,45134
ENSG00000169598_DFFB,ENSG00000169598,DFFB,protein_coding,28163
ENSG00000198912_C1orf174,ENSG00000198912,C1orf174,protein_coding,11169
ENSG00000236423_LINC01134,ENSG00000236423,LINC01134,lincRNA,16854
ENSG00000233304_LINC01346,ENSG00000233304,LINC01346,lincRNA,14698
ENSG00000226374_LINC01345,ENSG00000226374,LINC01345,lincRNA,4434
ENSG00000284668_AL805961.1,ENSG00000284668,AL805961.1,lincRNA,36567
ENSG00000284703_AL805961.2,ENSG00000284703,AL805961.2,lincRNA,6588
ENSG00000229280_EEF1DP6,ENSG00000229280,EEF1DP6,processed_pseudogene,372
ENSG00000235054_LINC01777,ENSG00000235054,LINC01777,lincRNA,12663
ENSG00000284694_AL355602.1,ENSG00000284694,AL355602.1,lincRNA,5245
ENSG00000227169_Z98747.1,ENSG00000227169,Z98747.1,lincRNA,411
ENSG00000232596_LINC01646,ENSG00000232596,LINC01646,lincRNA,22529
ENSG00000196581_AJAP1,ENSG00000196581,AJAP1,protein_coding,137803
ENSG00000284739_BX005132.2,ENSG00000284739,BX005132.2,lincRNA,9345
ENSG00000284674_BX005132.1,ENSG00000284674,BX005132.1,lincRNA,8188
ENSG00000231510_AL691497.1,ENSG00000231510,AL691497.1,lincRNA,4441
ENSG00000284616_AL139823.1,ENSG00000284616,AL139823.1,lincRNA,5467
ENSG00000284692_Z98259.3,ENSG00000284692,Z98259.3,lincRNA,14322
ENSG00000284666_Z98259.2,ENSG00000284666,Z98259.2,lincRNA,1242
ENSG00000260972_Z98259.1,ENSG00000260972,Z98259.1,lincRNA,1697
ENSG00000283356_Z97988.1,ENSG00000283356,Z97988.1,unprocessed_pseudogene,135
ENSG00000236948_AL365255.1,ENSG00000236948,AL365255.1,lincRNA,106587
ENSG00000264341_MIR4417,ENSG00000264341,MIR4417,miRNA,73
ENSG00000264101_MIR4689,ENSG00000264101,MIR4689,miRNA,70
ENSG00000131697_NPHP4,ENSG00000131697,NPHP4,protein_coding,129663
ENSG00000069424_KCNAB2,ENSG00000069424,KCNAB2,protein_coding,109728
ENSG00000116254_CHD5,ENSG00000116254,CHD5,protein_coding,78331
ENSG00000285629_AL031847.2,ENSG00000285629,AL031847.2,protein_coding,38328
ENSG00000116251_RPL22,ENSG00000116251,RPL22,protein_coding,24370
ENSG00000226944_AL031847.1,ENSG00000226944,AL031847.1,antisense,941
ENSG00000158286_RNF207,ENSG00000158286,RNF207,protein_coding,15825
ENSG00000116237_ICMT,ENSG00000116237,ICMT,protein_coding,14780
ENSG00000225077_LINC00337,ENSG00000225077,LINC00337,lincRNA,4753
ENSG00000173673_HES3,ENSG00000173673,HES3,protein_coding,1387
ENSG00000158292_GPR153,ENSG00000158292,GPR153,protein_coding,13630
ENSG00000097021_ACOT7,ENSG00000097021,ACOT7,protein_coding,130123
ENSG00000271746_AL031848.2,ENSG00000271746,AL031848.2,antisense,837
ENSG00000069812_HES2,ENSG00000069812,HES2,protein_coding,12253
ENSG00000187017_ESPN,ENSG00000187017,ESPN,protein_coding,36592
ENSG00000265392_MIR4252,ENSG00000265392,MIR4252,miRNA,63
ENSG00000231868_AL031848.1,ENSG00000231868,AL031848.1,antisense,3973
ENSG00000215788_TNFRSF25,ENSG00000215788,TNFRSF25,protein_coding,5410
ENSG00000171680_PLEKHG5,ENSG00000171680,PLEKHG5,protein_coding,53970
ENSG00000162408_NOL9,ENSG00000162408,NOL9,protein_coding,33189
ENSG00000253022_RNU6-731P,ENSG00000253022,RNU6-731P,snRNA,111
ENSG00000229519_AL591866.1,ENSG00000229519,AL591866.1,processed_pseudogene,715
ENSG00000173662_TAS1R1,ENSG00000173662,TAS1R1,protein_coding,24577
ENSG00000204859_ZBTB48,ENSG00000204859,ZBTB48,protein_coding,9280
ENSG00000162413_KLHL21,ENSG00000162413,KLHL21,protein_coding,23884
ENSG00000116273_PHF13,ENSG00000116273,PHF13,protein_coding,10349
ENSG00000041988_THAP3,ENSG00000041988,THAP3,protein_coding,10721
ENSG00000007923_DNAJC11,ENSG00000007923,DNAJC11,protein_coding,67757
ENSG00000228750_LINC01672,ENSG00000228750,LINC01672,lincRNA,5376
ENSG00000284744_AL591163.1,ENSG00000284744,AL591163.1,lincRNA,2085
ENSG00000237436_CAMTA1-DT,ENSG00000237436,CAMTA1-DT,antisense,952
ENSG00000171735_CAMTA1,ENSG00000171735,CAMTA1,protein_coding,984383
ENSG00000227950_AL590128.1,ENSG00000227950,AL590128.1,processed_pseudogene,286
ENSG00000237365_AL512330.1,ENSG00000237365,AL512330.1,antisense,5904
ENSG00000207056_RNU1-8P,ENSG00000207056,RNU1-8P,snRNA,165
ENSG00000237402_CAMTA1-IT1,ENSG00000237402,CAMTA1-IT1,sense_intronic,1329
ENSG00000237728_Z97987.1,ENSG00000237728,Z97987.1,antisense,7268
ENSG00000225126_AL365194.1,ENSG00000225126,AL365194.1,antisense,459
ENSG00000270171_AL359881.3,ENSG00000270171,AL359881.3,lincRNA,1721
ENSG00000270035_AL359881.2,ENSG00000270035,AL359881.2,lincRNA,570
ENSG00000269978_AL359881.1,ENSG00000269978,AL359881.1,lincRNA,267
ENSG00000049245_VAMP3,ENSG00000049245,VAMP3,protein_coding,10164
ENSG00000269925_Z98884.2,ENSG00000269925,Z98884.2,sense_intronic,393
ENSG00000049246_PER3,ENSG00000049246,PER3,protein_coding,60858
ENSG00000236266_Z98884.1,ENSG00000236266,Z98884.1,antisense,17101
ENSG00000049247_UTS2,ENSG00000049247,UTS2,protein_coding,10430
ENSG00000049249_TNFRSF9,ENSG00000049249,TNFRSF9,protein_coding,27272
ENSG00000270330_AL009183.1,ENSG00000270330,AL009183.1,processed_pseudogene,355
ENSG00000116288_PARK7,ENSG00000116288,PARK7,protein_coding,31215
ENSG00000200344_RF00019,ENSG00000200344,RF00019,misc_RNA,103
ENSG00000284747_AL034417.4,ENSG00000284747,AL034417.4,antisense,14179
ENSG00000284716_AL034417.3,ENSG00000284716,AL034417.3,lincRNA,1748
ENSG00000116285_ERRFI1,ENSG00000116285,ERRFI1,protein_coding,21905
ENSG00000238290_AL034417.2,ENSG00000238290,AL034417.2,lincRNA,95965
ENSG00000232848_AL034417.1,ENSG00000232848,AL034417.1,processed_pseudogene,1219
ENSG00000229305_AL358876.1,ENSG00000229305,AL358876.1,processed_pseudogene,2947
ENSG00000227634_LINC01714,ENSG00000227634,LINC01714,lincRNA,12782
ENSG00000200975_RNU1-7P,ENSG00000200975,RNU1-7P,snRNA,164
ENSG00000233645_AL358876.2,ENSG00000233645,AL358876.2,lincRNA,2340
ENSG00000251977_RNU6-991P,ENSG00000251977,RNU6-991P,snRNA,107
ENSG00000162426_SLC45A1,ENSG00000162426,SLC45A1,protein_coding,26342
ENSG00000252254_RF00019,ENSG00000252254,RF00019,misc_RNA,113
ENSG00000142599_RERE,ENSG00000142599,RERE,protein_coding,465247
ENSG00000232912_AL096855.1,ENSG00000232912,AL096855.1,antisense,10194
ENSG00000221083_RF00599,ENSG00000221083,RF00599,snoRNA,125
ENSG00000270282_AL096855.2,ENSG00000270282,AL096855.2,processed_pseudogene,369
ENSG00000234619_RPL7P11,ENSG00000234619,RPL7P11,processed_pseudogene,658
ENSG00000224315_RPL7P7,ENSG00000224315,RPL7P7,processed_pseudogene,703
ENSG00000222511_RF00019,ENSG00000222511,RF00019,misc_RNA,103
ENSG00000226545_AL357552.1,ENSG00000226545,AL357552.1,unprocessed_pseudogene,1032
ENSG00000228423_AL357552.2,ENSG00000228423,AL357552.2,lincRNA,1192
ENSG00000229716_RPL23AP19,ENSG00000229716,RPL23AP19,processed_pseudogene,369
ENSG00000074800_ENO1,ENSG00000074800,ENO1,protein_coding,18251
ENSG00000274258_MIR6728,ENSG00000274258,MIR6728,miRNA,89
ENSG00000230679_ENO1-AS1,ENSG00000230679,ENO1-AS1,antisense,1060
ENSG00000201725_RNU6-304P,ENSG00000201725,RNU6-304P,snRNA,107
ENSG00000238249_HMGN2P17,ENSG00000238249,HMGN2P17,processed_pseudogene,743
ENSG00000232208_AL139415.1,ENSG00000232208,AL139415.1,processed_pseudogene,352
ENSG00000232663_AL139415.2,ENSG00000232663,AL139415.2,processed_pseudogene,163
ENSG00000131686_CA6,ENSG00000131686,CA6,protein_coding,29226
ENSG00000265141_RN7SL451P,ENSG00000265141,RN7SL451P,misc_RNA,299
ENSG00000197241_SLC2A7,ENSG00000197241,SLC2A7,protein_coding,23046
ENSG00000142583_SLC2A5,ENSG00000142583,SLC2A5,protein_coding,53372
ENSG00000252404_RF00424,ENSG00000252404,RF00424,scaRNA,184
ENSG00000180758_GPR157,ENSG00000180758,GPR157,protein_coding,28866
ENSG00000228526_MIR34AHG,ENSG00000228526,MIR34AHG,lincRNA,50896
ENSG00000284357_MIR34A,ENSG00000284357,MIR34A,miRNA,110
ENSG00000234546_LNCTAM34A,ENSG00000234546,LNCTAM34A,lincRNA,14281
ENSG00000049239_H6PD,ENSG00000049239,H6PD,protein_coding,36563
ENSG00000171621_SPSB1,ENSG00000171621,SPSB1,protein_coding,76653
ENSG00000284652_BX323043.1,ENSG00000284652,BX323043.1,lincRNA,1765
ENSG00000284693_AL928921.2,ENSG00000284693,AL928921.2,lincRNA,15471
ENSG00000252956_RNA5SP40,ENSG00000252956,RNA5SP40,rRNA_pseudogene,110
ENSG00000235263_AL928921.1,ENSG00000235263,AL928921.1,lincRNA,2380
ENSG00000171612_SLC25A33,ENSG00000171612,SLC25A33,protein_coding,45698
ENSG00000231181_AL954705.1,ENSG00000231181,AL954705.1,processed_pseudogene,559
ENSG00000188807_TMEM201,ENSG00000188807,TMEM201,protein_coding,25952
ENSG00000171608_PIK3CD,ENSG00000171608,PIK3CD,protein_coding,77383
ENSG00000179840_PIK3CD-AS1,ENSG00000179840,PIK3CD-AS1,antisense,1977
ENSG00000233268_AL691449.1,ENSG00000233268,AL691449.1,processed_pseudogene,1799
ENSG00000231789_PIK3CD-AS2,ENSG00000231789,PIK3CD-AS2,antisense,15130
ENSG00000171603_CLSTN1,ENSG00000171603,CLSTN1,protein_coding,95501
ENSG00000271264_MZT1P1,ENSG00000271264,MZT1P1,processed_pseudogene,419
ENSG00000280113_AL357140.3,ENSG00000280113,AL357140.3,TEC,1983
ENSG00000178585_CTNNBIP1,ENSG00000178585,CTNNBIP1,protein_coding,62061
ENSG00000223989_AL357140.1,ENSG00000223989,AL357140.1,antisense,1837
ENSG00000285701_AL357140.5,ENSG00000285701,AL357140.5,antisense,7421
ENSG00000162441_LZIC,ENSG00000162441,LZIC,protein_coding,21295
ENSG00000228150_AL357140.2,ENSG00000228150,AL357140.2,sense_intronic,7052
ENSG00000173614_NMNAT1,ENSG00000173614,NMNAT1,protein_coding,42074
ENSG00000202415_RN7SKP269,ENSG00000202415,RN7SKP269,misc_RNA,319
ENSG00000283611_AL357140.4,ENSG00000283611,AL357140.4,unitary_pseudogene,10216
ENSG00000265521_MIR5697,ENSG00000265521,MIR5697,miRNA,78
ENSG00000241326_AL603962.1,ENSG00000241326,AL603962.1,sense_intronic,1428
ENSG00000162444_RBP7,ENSG00000162444,RBP7,protein_coding,18815
ENSG00000130939_UBE4B,ENSG00000130939,UBE4B,protein_coding,148408
